=== Sheet: RLC Charges By Location (FINAL) ===

																		Published: January 2026
Location Codes	Ward Number	Charges Laid by Location & Year	Enforcement Start Date	Enforcement End Date	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
2501	13	Richmond St. and Parliament St.	2007-11-09 00:00:00		46	1208	909	998	827	1100	812	721	809	829	3994	6615	2937	2106	1400	1290	1281	1317	522
2502	10	Lake Shore Blvd. and York St.	2007-11-09 00:00:00		42	635	165	238	394	592	249	310	410	271	45	324	321	1197	840	757	659	653	732
2503	6	Steeles Ave. and Carpenter Rd.	2007-11-09 00:00:00		70	1061	1123	835	782	999	834	747	436	601	528	804	623	920	1830	1794	1514	1422	939
2504	18	Steeles Ave. and Hilda Ave.	2007-11-09 00:00:00		25	625	527	760	846	1000	906	632	710	786	501	639	455	627	1314	1558	1427	936	889
2505	1	Albion Rd. and Silverstone Dr.	2007-11-09 00:00:00		222	1467	1137	1092	975	1213	1289	1071	779	797	604	0	1181	947	912	1196	1199	1006	986
2506	1	Albion Rd. and Finch Ave.*	2009-03-17 00:00:00	2018-05-16 00:00:00	0	0	93	171	145	251	160	110	70	143	32	0	0	0	0	0	0	0	0
2507	1	Dixon Rd. and Kipling Ave.	2008-03-18 00:00:00		0	160	86	75	96	136	106	86	56	123	27	71	99	82	30	48	60	83	63
2508	7	Steeles Ave. and Islington Ave.	2008-10-28 00:00:00		0	34	193	181	420	463	405	386	269	452	190	377	410	1313	430	262	230	152	97
2509	6	Sheppard Ave. and Wilson Heights Blvd.	2009-03-17 00:00:00		0	0	140	189	169	165	159	98	160	155	34	137	147	94	90	108	92	102	153
2510	6	Bathurst St. and Sheppard Ave.	2007-11-09 00:00:00		5	223	165	117	188	198	144	113	132	131	23	173	150	65	179	201	13	0	45
2511	8	Lawrence Ave. and Marlee Ave.	2008-03-19 00:00:00		0	436	494	454	288	228	353	275	217	193	213	283	371	307	458	515	479	280	332
2512	8	Lawrence Ave. and Bathurst St.	2008-08-11 00:00:00		0	54	161	74	90	207	151	174	188	168	24	71	113	342	176	0	204	298	234
2513	18	Bayview Ave. and Cummer Ave.	2009-03-17 00:00:00		0	0	590	943	811	1227	1194	973	879	1054	1004	885	1105	2601	2346	2899	2513	1435	1240
2514	18	Finch Ave. and Willowdale Ave.	2009-03-17 00:00:00	2022-02-02 00:00:00	0	0	184	217	0	233	182	169	176	180	22	118	57	0	0*	0	0	0	0
2515	15	Leslie St. and Lawrence Ave.	2008-05-29 00:00:00		0	139	132	225	165	227	176	121	95	126	18	80	84	57	166	207	218	214	184
2516	15	Leslie St. and York Mills Rd.	2009-08-05 00:00:00		0	9	50	141	145	207	128	147	133	139	21	101	105	114	216	336	323	273	233
2517	15	Bayview Ave. and Truman Rd. / Fifeshire Rd.	2008-03-31 00:00:00		0	1416	1962	2291	1966	2210	1589	1093	1163	1994	1934	1648	1591	3383	3679	3106	1745	1211	1392
2518	22	Midland Ave. and McNicoll Ave.	2008-10-09 00:00:00		0	121	395	383	356	307	238	253	341	344	152	187	81	359	431	324	298	288	252
2519	22	Steeles Ave. and Birchmount Rd.	2009-03-17 00:00:00		0	0	276	209	411	482	345	295	289	318	183	452	213	136	1475	1558	1491	947	852
2520	22	Warden Ave. and Arkona Dr. / Cloverleaf Gt.	2008-08-11 00:00:00		0	369	1218	1235	1113	1351	914	844	901	1322	1223	1099	1058	1074	773	1153	1798	621	543
2521	23	Steeles Ave. and Brimley Rd.	2008-05-29 00:00:00		0	365	462	402	283	552	477	370	334	379	201	269	224	224	193	229	248	169	363
2522	11	College St. and Bathurst St.	2008-08-11 00:00:00		0	22	109	117	43	127	71	15	108	142	34	501	583	472	548	559	138	248	339
2523	24	Lawrence Ave. and Morningside Ave.	2008-08-11 00:00:00		0	11	44	86	88	119	127	126	141	143	26	155	187	183	120	68	213	210	196
2524	1	Dixon Rd. and Carlingview Dr.	2009-03-19 00:00:00		0	0	79	482	332	551	435	260	339	358	425	158	180	238	187	251	258	105	658
2525	8	Dufferin St. and Glencairn Ave.	2009-03-19 00:00:00		0	0	457	933	527	998	785	948	606	619	544	610	616	2498	2149	1567	1710	1495	1454
2526	15	Overlea Blvd. and Thorncliffe Park Dr. / Beth Nealson Dr.	2008-10-29 00:00:00		0	59	234	253	228	232	211	184	243	235	122	153	178	151	326	376	284	160	151
2527	21	Ellesmere Rd. and Kennedy Rd.	2008-03-28 00:00:00		0	225	217	256	189	235	266	232	276	326	120	251	191	729	474	477	524	552	574
2528	17	Finch Ave. and Leslie St.	2008-10-21 00:00:00		0	38	123	260	203	229	241	194	137	195	92	135	179	414	314	270	365	342	303
2529	22	Birchmount Rd. and Huntingwood Dr.	2009-03-17 00:00:00		0	0	610	795	618	491	692	556	555	507	354	459	439	378	509	36	51	80	96
2530	25	Kingston Rd. and Port Union Rd. / Sheppard Ave.	2009-03-18 00:00:00		0	60	27	48	67	82	86	95	95	78	20	95	113	92	89	68	86	73	98
2531	2	Bloor St. and The West Mall	2009-03-19 00:00:00		0	0	117	240	232	333	253	202	183	184	38	205	190	539	783	1070	1169	780	668
2532	3	The Queensway and The West Mall	2008-11-20 00:00:00		0	27	216	79	224	369	494	811	346	368	400	240	266	234	221	269	230	350	310
2533	3	Lake Shore Blvd. and Thirty Seventh St.	2009-03-19 00:00:00		0	0	625	869	480	885	668	268	1015	709	655	948	1000	975	767	774	681	790	785
